item_number,item_name,line_build_id,procedures_step_order,sub_steps_order,procedures_activity,procedures_appliance,procedures_cooking_phase,sub_steps_title,sub_steps_related_item_number,cooking_time,resting_time,hold_time,step_time,apply_option_id,apply_option_value_id,restaurant_id,procedures_option_type,procedures_option_name,procedures_option_value_name
8010666,"BYO Mandarin Crunch Salad, Royal Greens PRESET",dcea5494-fc0a-4690-9158-668e165ed658,2,1,COMPLETE,,,Place in Bag,9001888,,,30:00,00:05,,,,,,
8009955,"Chicken Tenders, Bellies",dc2c9f42-4f6e-4b30-8c61-7914dd2c2efb,1,2,COOK,FRYER,,POST COOK: Chicken Tenders - Bellies Clamshell,,05:00,,,05:45,,,cb0cfcc9-1505-407c-8341-6318229bc96e,,,
8009454,"6pc Classic Buffalo Wings, Detroit Brick",e317ab4d-928d-4016-bfb8-a4b1b16e51c0,1,3,COOK,FRYER,,POST COOK: Vented Clamshell - (1) Foil Sheet,,05:00,,,05:30,,,e3a72331-dec7-4f9a-b85b-dad392d387e0,,,
8011187,"Meat Lover Pizza, Detroit Brick (V3 Pilot)",0ce15fd1-615d-4c75-abaf-83b649c78bfa,3,3,GARNISH,,,Square Pizza Box + Liner,,,,,00:30,,,880b5e7f-7f7e-4945-b74e-1c5b4540bb75,,,
8008422,"12pc Boneless Truffle Parmesan Wings, Wing Trip",6c605874-9f90-497f-a42f-4ce6c2144d8f,1,2,COOK,FRYER,,"POST COOK: 6PT. Drizzle - White Truffle Oil, Toss",,04:00,,,04:45,,,c96132be-e6a2-4b34-99ca-effe6d88246d,,,
8010664,"BYO Greek Salad, Royal Greens PRESET",4d5b2147-437c-41db-b6d1-947f329e9831,6,26,GARNISH,,,"(1 Bag) Pita Chip, Crumble & Sprinkle",,,,,00:15,,,,,,
8010851,"White Rice Fajita Bowl, PRESET",473c4f29-7087-4b7a-a313-791065604e1b,22,13,GARNISH,,,Pickled Red Onions,,,,,00:15,,,ba6162bb-1d84-47d2-aeef-0ee560a7cfd4,,,
8006910,"Spice Rubbed Filet Mignon, BF 3.0",9c0d4704-feea-4b8c-8c10-185460b33954,2,7,COOK,TURBO_OVEN,,POST COOK: add temp stick to steak and PASS,,06:00,,,06:15,b17df22f-8120-40f6-a9f2-a4b60485426e,5f4be1eb-d546-4a14-b269-6e6f0d5ff111,,DISH_PREFERENCE,Choose Your Temperature,Medium Rare
8009136,"Beef & Broccoli, Kin House 2.0",3cd5e409-f1d8-4947-875a-602a8d8ba4ac,2,1,COOK,MICROWAVE,,AMBER Pan,,01:30,,,01:45,,,,,,
8010985,"Cheesesteak Quesadilla, Limesalt PRESET",886c2bdc-8f5b-49ae-8cc3-a021fc4296a6,11,1,COOK,PRESS,,"Vegalene, Spray - top of quesadilla",,03:00,,,03:15,,,72892b02-6079-4724-81aa-e47fd42a03e7,,,
8006447,"Regular Round Pizza (BYO), Di Fara 3.0",1bcd6196-f362-4cc1-85d4-fb2377c4bee0,1,3,GARNISH,,,Grated Parmesan,,,,,01:00,a25f8389-bc20-4179-a5fa-cd7b615e0d33,,b7afaefa-7ad5-4251-94a3-67c561b21f09,,,
8009956,"Mac & Cheese, Bellies",2812b6a1-d60d-4251-8022-abc840874a3b,1,1,COOK,MICROWAVE,,"(1 ea) Macaroni & Cheese, Nestle [Pouch]",8806256,01:45,,,02:15,,,f68596cc-1b9b-41e2-909d-65e6e07aa296,,,
8008414,"6pc Boneless Truffle Parmesan Wings, Wing Trip",4c9bba64-117b-44dd-879a-1a6465c69e4b,2,2,GARNISH,,,Wings,,,,,00:15,,,ae96ef30-d65a-4000-9144-89da6c30fd56,,,
8011278,Balsamic Brussels Salad,8baf1a56-9c70-46d2-9a2e-d94241f92b63,5,29,GARNISH,,,Black Beans,,,,,00:15,,,,,,
8010062,"French Fries, Bellies",d50dfc66-bff6-46d8-afb2-018b12e4924d,1,3,COOK,FRYER,,POST COOK: Bellies Clamshell - Fries,,04:00,,,04:45,,,de6ed72c-9589-49be-a741-28919862d3dc,,,
8008423,"12pc Nashville Hot Wings, Wing Trip",4dbceee5-126c-4962-9ac4-3d146183d1ce,1,1,COOK,FRYER,,(12) Bone-in Wings ,4000475,06:30,,,06:45,,,a9146076-b9cd-4710-9273-4b6b82a729f2,,,
8010858,"Basics Bowl, PRESET",30d31de1-5786-49ad-998d-6c94cd440d06,22,7,GARNISH,,,(12 Pt) Sour Cream,,,,,00:15,,,c3303cd4-0c3d-472b-a5e5-08d77e69af47,,,
8009132,"Sesame Beef, Kin House 2.0",41261041-b017-43ca-a7ee-616608c28d40,6,4,GARNISH,,,Sesame Seeds,,,,,00:15,,,,,,
8008644,"Fried Chicken Sandwich Deluxe, Street Bird",011e0e90-ea97-4e07-bab2-1a4ccfb7c5e4,4,3,GARNISH,,,No Garlic Aioli,,,,,01:00,,,46526f6b-e0d4-4ac7-96af-51f85eb5d852,MANDATORY_CHOICE,Cheese,No Cheese
8008644,"Fried Chicken Sandwich Deluxe, Street Bird",011e0e90-ea97-4e07-bab2-1a4ccfb7c5e4,3,9,GARNISH,,,Top Bun,,,,,01:00,,,46526f6b-e0d4-4ac7-96af-51f85eb5d852,MANDATORY_CHOICE,Cheese,American Cheese
8010661,"BYO Cobb Salad, Royal Greens PRESET",79693d7b-5b21-4a5c-8599-ff50574cee70,7,3,GARNISH,,,Basil Pesto,,,,,00:15,,,,,,
8010857,"Picante Bowl, PRESET",33d3c0c4-a032-438f-bcd5-1e3efc066f1b,9,1,COOK,TURBO_OVEN,,Adobo Steak,,03:00,,,03:15,,,bb28f767-3cda-4865-9c65-1fdc0aff54cc,,,
8010914,"Spicy Cauliflower & Feta Salad PRESET, Yasas BYO (RICE PILOT)",c8efd563-242c-4255-ad1a-d90911b985ba,13,1,COOK,TURBO_OVEN,,Moruno Spiced Cauliflower,,03:00,,,03:15,,,,,,
8011274,"12pc Classic Wings, Wing Trip",4a88759c-98ad-4e6e-9d6c-ec4b4abccb7b,3,1,COOK,FRYER,,(12) Bone-in Wings ,,07:00,,,07:15,,,b5d72ed5-d430-444c-b0b4-56ff6d0be6b3,MANDATORY_CHOICE,Choose Your Flavor ,Lemon Pepper
8006134,"Fred's Fries, Fred's 3.0",6c663813-d7b9-44de-9845-5e3bd2b072c7,3,1,COMPLETE,,,Fred's Fries,9001847,,,05:00,00:30,,,172e4c8f-b1c9-4cf7-9d0c-168a127e2a7e,,,
8009096,"M's Crispy Chicken Tenders, Street Bird",898145e2-1edd-4381-8ca1-2c449d50b04c,2,1,COMPLETE,,,Place in Bag,,,,30:00,00:15,,,fc88f57c-f767-459a-9678-89091979c8cc,,,
8008645,"Fried Spicy Chicken Sandwich Deluxe, Street Bird",75c61fee-3d24-46a5-b33a-461d84354346,3,10,GARNISH,,,Medium Honeycomb 14x16 Foil Paper,,,,,01:00,,,0e7749c8-9c8d-4bda-b599-a5d30802f5f4,MANDATORY_CHOICE,Cheese,American Cheese
8010908,"BBQ Brisket Bowl, PRESET",4f0956d0-f9c6-4b2d-8698-729e3fe45c0b,2,1,COOK,RICE_COOKER,,Brown Rice,,40:00,,00:00,40:15,,,bb28f767-3cda-4865-9c65-1fdc0aff54cc,,,
8008644,"Fried Chicken Sandwich Deluxe, Street Bird",011e0e90-ea97-4e07-bab2-1a4ccfb7c5e4,4,7,GARNISH,,,Chicken Filet,,,,,01:00,,,e437d940-3452-40d4-9769-1e6da933b08c,MANDATORY_CHOICE,Cheese,No Cheese
8006447,"Regular Round Pizza (BYO), Di Fara 3.0",1bcd6196-f362-4cc1-85d4-fb2377c4bee0,1,11,GARNISH,,,8oz Kalamata Olives,,,,,01:00,a25f8389-bc20-4179-a5fa-cd7b615e0d33,,c3576957-2cf4-4895-86ee-94ccb330ff32,,,
8010850,"Brown Rice Fajita Bowl, PRESET",d54a3538-8106-4511-90d3-f84735c8a3f9,22,12,GARNISH,,,Pickled Jalapeños,,,,,00:15,,,be6ee657-c6da-434b-b4a1-f1f2e2abc2b4,,,
8010909,"BBQ Brisket Taco, PRESET",22ead752-8401-4388-a19b-35fa262728a8,3,1,COOK,RICE_COOKER,,Brown Rice,,40:00,,00:00,40:15,,,bb28f767-3cda-4865-9c65-1fdc0aff54cc,,,
8010852,"BBQ Chicken Salad, Royal Greens PRESET",baa09266-4b12-4646-ae76-2105d29d3256,5,6,GARNISH,,,48oz Pulp Bowl,,,,,00:15,,,,,,
8010908,"BBQ Brisket Bowl, PRESET",4f0956d0-f9c6-4b2d-8698-729e3fe45c0b,22,13,GARNISH,,,Pickled Red Onions,,,,,00:15,,,50c80294-6a20-41f3-901a-8238ece6244f,,,
8006150,"Old Bay Fries, Fred's 3.0",c1c1ecf4-5372-43cd-b356-23a89794b9d3,3,1,COMPLETE,,,Place in Large Bag,9001847,,,00:00,00:30,,,304d5d6b-676a-496e-9c60-a77ad25d204b,,,
8011251,"Sesame Chicken, Kin House (Microwave Pilot)",0e482e3c-ae4f-4703-8cdf-dd2affa00ad2,6,2,GARNISH,,,Broccoli,,,,,00:15,,,,,,
8011272,"6pc Classic Wings, Wing Trip",a26b2991-2864-4365-bc47-9729e73c116b,3,1,COOK,FRYER,,(6) Bone-in Wings ,,07:00,,,07:15,,,23c614c5-3f9c-4a0c-8334-04914f864a37,MANDATORY_CHOICE,Choose Your Flavor ,Lemon Pepper
8010850,"Brown Rice Fajita Bowl, PRESET",d54a3538-8106-4511-90d3-f84735c8a3f9,22,12,GARNISH,,,Pickled Jalapeños,,,,,00:15,,,5bd779ff-652f-4eb9-a06e-d64e80c87335,,,
8010908,"BBQ Brisket Bowl, PRESET",4f0956d0-f9c6-4b2d-8698-729e3fe45c0b,2,1,COOK,RICE_COOKER,,Brown Rice,,40:00,,00:00,40:15,,,dec1807c-26bb-4b28-8311-08fdb9a68422,,,
8011001,"Autumn Orchard Bowl, Royal Greens AB PRESET",a8e5d9da-7a17-458f-af3c-2850079a15fd,6,18,GARNISH,,,Tortilla Strips,,,,,00:15,,,,,,
8010062,"French Fries, Bellies",b217ffc7-7ddb-403d-bd25-6cec9ad7426e,3,1,VEND,,,Ketchup,,,,,00:00,,,3fa3e9af-35b5-4f60-adeb-0b904846e3b7,,,
8008645,"Fried Spicy Chicken Sandwich Deluxe, Street Bird",75c61fee-3d24-46a5-b33a-461d84354346,1,1,COOK,FRYER,,"(1 ea) Chicken Filet, Breaded",4000113,05:00,,,05:15,,,e437d940-3452-40d4-9769-1e6da933b08c,,,
8002611,"Peri Peri Chicken Sandwich, Bankside",f5312c6c-b64c-4ec3-8b7d-670ffc4961f5,3,1,GARNISH,,,TOAST: Martin's Roll,,,,,00:45,,,f9c0980c-1e58-4c90-9859-5b7d4747ba18,,,
8010858,"Basics Bowl, PRESET",7a912707-0984-4ff6-a9ba-fd09b7bcb26c,7,1,COOK,WATER_BATH,,Pinto Beans,,20:00,,,20:30,,,,,,
8008644,"Fried Chicken Sandwich Deluxe, Street Bird",011e0e90-ea97-4e07-bab2-1a4ccfb7c5e4,2,10,GARNISH,,,Medium Honeycomb 14x16 Foil Paper,,,,,01:00,,,46526f6b-e0d4-4ac7-96af-51f85eb5d852,MANDATORY_CHOICE,Cheese,Swiss Cheese
8010875,"Buffalo Salad, Royal Greens AB PRESET",ab2fccc4-e64f-47b9-ad5b-9af91ea20c83,5,2,GARNISH,,,Kale- Fill to Line,,,,,00:15,,,,,,
8005007,"Quesadilla (BYO), Limesalt",4f98955f-94b6-4c0f-bf0f-d8d861c340e3,11,1,GARNISH,,,(white wheel) Cut Quesadilla 1/2” - 36oz Pulp Rectangle,,,,,00:15,,,f54a0b83-50d6-43bb-b7d2-5c3f94af79a1,,,
8009955,"Chicken Tenders, Bellies",91e4735d-60cb-4f87-b785-b421f744837c,1,1,COOK,FRYER,,(3) Breaded Chicken Tender ,4000477,02:30,,,02:45,,,637572b1-bf6a-4e71-99d2-c3ad3aa75094,,,
8006447,"Regular Round Pizza (BYO), Di Fara 3.0",30a376bc-b786-449b-aa41-25e93ad0398e,3,2,GARNISH,,,Slice,,,,,00:30,a25f8389-bc20-4179-a5fa-cd7b615e0d33,,62bbb259-829b-4792-8c3a-f5cff6043c7e,,,
8011274,"12pc Classic Wings, Wing Trip",0722d420-5f8f-4d50-b279-e968dbc58ced,2,2,COOK,FRYER,,"POST COOK: (2) Sweet & Sticky Sauce + Wings, Toss - Bowl",,05:30,,,05:45,,,78b14a7d-0760-4e43-a14c-1b68948e6279,MANDATORY_CHOICE,Choose Your Flavor ,Sweet & Sticky BBQ
8005119,"Chips & Pico de Gallo, Limesalt",6b6feec7-4727-4920-8b5d-aaba454d9a98,2,1,VEND,,,Tortilla Chips,8806265,,,,00:00,,,,,,
8010062,"French Fries, Bellies",d50dfc66-bff6-46d8-afb2-018b12e4924d,3,1,VEND,,,Ketchup,,,,,00:00,,,a88d83a5-0b95-4585-8364-8170eb2cb55a,,,
8010675,"BYO Winter Bowl, Royal Greens PRESET",994dfe63-229f-4ca0-8296-8663a1487a9a,5,13,GARNISH,,,Romaine- Fill Half,,,,,00:15,,,,,,
8007651,"Real Veggie Cheeseburger, Burger Baby!",4f38db4d-d7f3-4af7-9c8c-6006b824cf62,5,1,GARNISH,,,-BOTTOM BUN-,,,,,00:30,,,204d0742-a118-461e-a6ed-0b4eb30ffe58,,,
8010463,"12"" Gluten-Free Pizza Classica, Alanza Pizza",b3781438-6a9a-40aa-abd5-620b108a7ea4,1,2,GARNISH,,,Alanza Pizza Sauce,,,,,00:30,,,18a2db60-cd8a-4bbb-ad0a-7560b0b13f38,,,
8008271,"6pc Boneless Peri Peri Wings, Wing Trip",0822e380-3bb2-4ebe-994a-bf9cb04eb541,3,1,COMPLETE,,,6pc Boneless Peri Peri Wings,9002117,,,30:00,00:30,,,ae96ef30-d65a-4000-9144-89da6c30fd56,,,
8010438,"Pizza Pepperoni 12"", Alanza Pizza",08466aa8-9f6f-418a-acf3-4368059e6172,1,3,GARNISH,,,(1) Diced Mozzarella,,,,,00:45,,,d20697b2-2119-4206-bdbd-55a01494518d,,,
